	(	)	*	+	-	/	;	<	<=	<id>	<num>	=	>	>=	else	if	while	{	}	$	(	)	*	+	-	/	;	<	<=	<id>	<num>	=	>	>=	else	if	while	{	}	A	B	S	S'
105	X	X	X	X	X	X	X	X	X	s28	X	X	X	X	X	s18	s11	X	X	X	X	X	X	X	X	X	X	X	X	28	X	X	X	X	X	18	11	X	X	X	X	106	X	
106	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	s107	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	107	X	X	X	X	
107	X	X	X	X	X	X	r8	X	X	X	X	X	X	X	r8	X	X	X	r8	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
108	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	109	X	X	X	
109	X	r11	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	X	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
110	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	111	X	X	X	
111	X	r12	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	X	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
112	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	113	X	X	X	
113	X	r13	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	X	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
114	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	115	X	X	X	
115	X	r14	X	X	X	X	X	s112	s114	X	X	X	s110	s108	X	X	X	X	X	X	X	X	X	X	X	X	X	112	114	X	X	X	110	108	X	X	X	X	X	X	X	X	X	
116	X	r15	X	X	X	X	X	r15	r15	X	X	X	r15	r15	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
117	X	r16	X	X	X	X	X	r16	r16	X	X	X	r16	r16	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
118	X	X	X	X	X	X	s10	X	X	X	X	X	X	X	X	X	X	X	r2	X	X	X	X	X	X	X	10	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
119	X	X	X	X	X	X	s2	X	X	X	X	X	X	X	X	X	X	X	X	r2	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
120	s121	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	121	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
121	X	X	X	X	X	X	X	X	X	s117	s116	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	117	116	X	X	X	X	X	X	X	X	122	X	X	X	
